Date,Close
04/01/2021 16:00:00,43.96
05/01/2021 16:00:00,43.98
06/01/2021 16:00:00,44.4
07/01/2021 16:00:00,44.96
08/01/2021 16:00:00,45.06
11/01/2021 16:00:00,45.36
12/01/2021 16:00:00,45.79
13/01/2021 16:00:00,45.36
14/01/2021 16:00:00,45.15
15/01/2021 16:00:00,45.43
19/01/2021 16:00:00,45.19
20/01/2021 16:00:00,45.34
21/01/2021 16:00:00,45.11
22/01/2021 16:00:00,44.77
25/01/2021 16:00:00,45.03
26/01/2021 16:00:00,45.26
27/01/2021 16:00:00,45.7
28/01/2021 16:00:00,45.34
29/01/2021 16:00:00,44.58
01/02/2021 16:00:00,45.4
02/02/2021 16:00:00,45.83
03/02/2021 16:00:00,45.77
04/02/2021 16:00:00,47.25
05/02/2021 16:00:00,48.08
08/02/2021 16:00:00,48.94
09/02/2021 16:00:00,48.5
10/02/2021 16:00:00,47.24
11/02/2021 16:00:00,47.58
12/02/2021 16:00:00,47.29
16/02/2021 16:00:00,46.51
17/02/2021 16:00:00,46.25
18/02/2021 16:00:00,46.34
19/02/2021 16:00:00,45.68
22/02/2021 16:00:00,45.43
23/02/2021 16:00:00,45.51
24/02/2021 16:00:00,45.74
25/02/2021 16:00:00,45.52
26/02/2021 16:00:00,44.87
01/03/2021 16:00:00,45.92
02/03/2021 16:00:00,45.52
03/03/2021 16:00:00,45.13
04/03/2021 16:00:00,44.56
05/03/2021 16:00:00,46.25
08/03/2021 16:00:00,47.51
09/03/2021 16:00:00,47.89
10/03/2021 16:00:00,48.29
11/03/2021 16:00:00,48.8
12/03/2021 16:00:00,48.82
15/03/2021 16:00:00,49.41
16/03/2021 16:00:00,49.67
17/03/2021 16:00:00,49.42
18/03/2021 16:00:00,48.8
19/03/2021 16:00:00,48.98
22/03/2021 16:00:00,50.3
23/03/2021 16:00:00,50.01
24/03/2021 16:00:00,49.65
25/03/2021 16:00:00,50.51
26/03/2021 16:00:00,52.57
29/03/2021 16:00:00,52.52
30/03/2021 16:00:00,51.77
31/03/2021 16:00:00,51.71
01/04/2021 16:00:00,51.98
05/04/2021 16:00:00,52.41
06/04/2021 16:00:00,52.03
07/04/2021 16:00:00,51.77
08/04/2021 16:00:00,51.91
09/04/2021 16:00:00,52.09
12/04/2021 16:00:00,51.57
13/04/2021 16:00:00,51.66
14/04/2021 16:00:00,51.37
15/04/2021 16:00:00,51.64
16/04/2021 16:00:00,52.8
19/04/2021 16:00:00,52.85
20/04/2021 16:00:00,51.79
21/04/2021 16:00:00,51.93
22/04/2021 16:00:00,51.5
23/04/2021 16:00:00,51.91
26/04/2021 16:00:00,51.64
